gene,flag,template,start,mapq,cigar,annotation,length,functionality,causes
TRGV3-1*01_F_V-REGION_304nt,0,chr04,82496980,32,304M,TRGV3-1,304,F,
TRGV3-1*01_F_V-REGION_304nt,256,chr04,82502908,255,304M,TRGV3-2,304,F,
TRGV7-1*01_F_V-REGION_306nt,0,chr04,82506969,255,306M,TRGV7-1,306,F,
TRGV10-1*01_F_V-REGION_311nt,0,chr04,82511266,255,311M,TRGV10-1,311,F,
TRGV4-1*01_(F)_V-REGION_249nt,0,chr04,82513760,255,249M,TRGV4-1,249,P,"frameshift in L2, no V-RS"
TRGJ5-1*01_F_J-REGION_60nt,0,chr04,82520154,255,60M,TRGJ5-1,60,F,
TRGC5*03_F_EX1_330nt,0,chr04,82527823,255,330M,TRGC5_EX1,330,F,
TRGC5*02_F_EX2A_36nt,0,chr04,82533552,255,36M,TRGC5_EX2A,36,F,
TRGC5*02_F_EX3_141nt,0,chr04,82535168,255,141M,TRGC5_EX3,141,F,
TRGV8-1*01_F_V-REGION_291nt,256,chr04,82551867,255,291M,TRGV8-1,291,F,
TRGV8-1*01_F_V-REGION_291nt,0,chr04,82562064,32,291M,TRGV8-2,291,F,
TRGV8-2*01_F_V-REGION_276nt,0,chr04,82567799,37,276M,TRGV8-3,276,F,
TRGV2-1*01_F_V-REGION_300nt,0,chr04,82581901,255,300M,TRGV2-1,300,F,
TRGV9-1*01_F_V-REGION_300nt,256,chr04,82613526,255,300M,TRGV9-1,300,F,
TRGV9-1*01_F_V-REGION_300nt,0,chr04,82628228,6,300M,TRGV9-2,300,F,
TRGV9-1*01_F_V-REGION_300nt,256,chr04,82642377,255,300M,TRGV9-3,300,F,
TRGJ3-1*01_F_J-REGION_60nt,256,chr04,82649086,255,60M,TRGJ3-1,60,F,
TRGC3*02_F_EX1_330nt,256,chr04,82655493,255,330M,TRGC3_EX1,330,F,
TRGC3*02_F_EX2A_57nt,0,chr04,82657452,30,57M,TRGC3_EX2A,57,F,
TRGC3*02_F_EX2C_54nt,256,chr04,82658298,255,54M,TRGC3_EX2C,54,F,
TRGC3*01_F_EX3_141nt,0,chr04,82659772,6,141M,TRGC3_EX3,141,F,
TRGV1-1*01_F_V-REGION_297nt,256,chr04,82670528,255,297M,TRGV1-1,297,F,
TRGJ3-1*01_F_J-REGION_60nt,0,chr04,82679497,1,60M,TRGJ3-2,60,F,
TRGC3*02_F_EX1_330nt,0,chr04,82685923,6,330M,TRGC3R_EX1,330,F,
TRGC3*02_F_EX2A_57nt,256,chr04,82687880,255,57M,TRGC3R_EX2A,57,F,
TRGC3*02_F_EX2C_54nt,0,chr04,82688726,1,54M,TRGC3R_EX2C,54,F,
TRGC3*01_F_EX3_141nt,256,chr04,82690199,255,141M,TRGC3R_EX3,141,F,
TRGV1-1*01_F_V-REGION_297nt,0,chr04,82700953,6,297M,TRGV1-2,297,F,
TRGJ4-1*01_F_J-REGION_47nt,0,chr04,82710754,255,47M,TRGJ4-1,47,F,
TRGJ4-2*01_F_J-REGION_50nt,0,chr04,82714143,255,50M,TRGJ4-2,50,F,
TRGC4*01_F_EX1_330nt,0,chr04,82718087,255,330M,TRGC4_EX1,330,F,
TRGC4*01_F_EX2A_60nt,0,chr04,82722997,255,60M,TRGC4_EX2A,60,F,
TRGC1*01_F_EX2B_48nt,256,chr04,82723369,255,48M,TRGC4_EX2B,48,F,
TRGC4*01_F_EX2C_51nt,0,chr04,82723703,255,51M,TRGC4_EX2C,51,F,
TRGC4*01_F_EX3_141nt,0,chr04,82726087,255,141M,TRGC4_EX3,141,F,
